time,id,data,label,type
1536574897.69665,707,508913951963099136,0,Normal
1536574630.89356,508,18409870357839217478,0,Normal
1536574274.577379,456,4899634923897306112,0,Normal
1536574386.693562,1105,0,0,Normal
1536574373.221516,485,6631372466516132300,0,Normal
1508687385.001075,502,2170878195275268094,0,Normal
1536574288.788009,1011,211243896420605,0,Normal
1536574056.330814,417,71745019647488,0,Normal
1508687482.048843,144,0,1,DoS
1536575117.720567,197,8095796208826987210,1,Fuzzing
1536575191.425745,417,71745354664192,1,DoS
1536575232.017338,532,6598713764917,1,Fuzzing
1536575233.155154,961,533103710285332480,1,Fuzzing
1536574707.967116,500,0,0,Normal
1508687502.596736,144,0,1,Fuzzing
1536574970.478341,810,795434123696870213,1,Replay
1536573977.22976,417,71745239056384,0,Normal
1536574372.039133,985,514,0,Normal
1536575023.597177,1280,808452596,1,Fuzzing
1536574215.590193,456,9511320942324628479,0,Normal
1536575085.159773,211,3172582557896216576,1,Replay
1508687368.24252,1498,5436126227832343168,0,Normal
1536574262.568455,489,5629559663820800,0,Normal
1536575218.697707,1105,0,1,Fuzzing
1536575059.854323,562,0,1,DoS
1536575061.250092,500,0,1,Fuzzing
1536575163.001236,419,9223372036854775808,1,Fuzzing
1536574969.886696,209,54044294989806848,1,Fuzzing
1536574464.261211,386,12154653543831175168,0,Normal
1508687552.398661,578,1099243061261,1,Fuzzing
1536575228.882957,1105,0,1,Fuzzing
1536575003.256497,562,0,1,Fuzzing
1536575067.895483,309,72068772110930460,1,DoS
1536574980.236274,389,6223,1,DoS
1536574786.738982,485,6634498378694656535,0,Normal
1536575032.936892,386,12154653543831175168,1,Fuzzing
1536574730.736392,193,3616080963318746564,0,Normal
1508687533.899844,502,2170875914651500542,1,Fuzzing
1536574863.244516,417,71745019139328,0,Normal
1536574708.649156,1105,0,0,Normal
1536575234.383317,1105,0,1,Replay
1536575279.324385,197,165934363937720688,1,Fuzzing
1536575306.614313,508,18430981689772602101,1,Fuzzing
1536574926.419017,456,287948901175016449,0,Normal
1536574636.864294,419,9223372036854775808,0,Normal
1536574854.521948,241,81655922425856,0,Normal
1536574371.804022,562,0,0,Normal
1536575031.598738,500,0,1,DoS
1508687508.673481,1623,0,1,Fuzzing
1536575257.095897,456,4899634923897306112,1,Replay
1536575113.854725,961,533103710285332480,1,DoS
1536574090.332823,500,0,0,Normal
1536575333.180931,499,15360,1,Replay
1536574180.633539,451,524114408143603459,0,Normal
1536574714.217613,209,54044294989806848,0,Normal
1508687496.669888,666,1530,1,Fuzzing
1536575233.957858,1001,348633975946975088,1,Replay
1536574120.07687,386,12154653543831175168,0,Normal
1536574059.24124,201,9227682152500498432,0,Normal
1536575233.746074,197,6989925031307075115,1,Fuzzing
1536575261.476948,499,12647424,1,Replay
1536574169.372276,489,3377759850463232,0,Normal
1536574941.945997,419,9223372036854775808,1,DoS
1536575293.315693,532,2199593624607,1,Replay
1508687468.246432,394,3602879731491667968,0,Normal
1508687507.717563,668,2162605368855756799,1,Fuzzing
1536574084.683995,810,795507271284948817,0,Normal
1536574623.690646,453,3170863996239676926,0,Normal
1508687511.384477,0,0,1,DoS
1536574594.067628,1225,9234631035923202048,0,Normal
1536574781.205283,489,4613937878370615296,0,Normal
1536575068.515675,313,0,1,Fuzzing
1536574421.68684,419,9223372036854775808,0,Normal
1536574605.982853,528,67109374,0,Normal
1508687313.951231,144,0,0,Normal
1536575226.4861,193,4633900964753562749,1,Replay
1536574304.18718,562,0,0,Normal
1536574752.064551,1300,3480229472786268464,0,Normal
1536574638.741609,451,506099726166276611,0,Normal
1508687332.018001,502,2170878221045071870,0,Normal
1536575215.649579,866,0,1,Replay
1536574319.038213,707,513980492953960192,0,Normal
1508687414.284825,695,3774873089,0,Normal
1536575107.192561,1221,0,1,DoS
1536574289.378965,381,37539138174983,0,Normal
1536574853.492285,201,9227325880668327936,0,Normal
1536574617.191752,197,14090739513619714213,0,Normal
1508687370.711908,710,281474976710640,0,Normal
1536575045.748893,452,27798797866237952,1,Fuzzing
1536575292.944353,489,3377759855968256,1,Fuzzing
1536574757.147561,1001,48279293594666202,0,Normal
1536574749.816525,417,71749314084864,0,Normal
1536575173.468575,209,36029621619195392,1,Fuzzing
1536575131.439758,193,8256426663950590959,1,Fuzzing
1536574960.8978,451,477107374070431745,1,Fuzzing
1536574998.48872,0,0,1,DoS
1536575094.454168,977,76279718689910335,1,DoS
1536575322.602162,193,13875803081808700976,1,DoS
1508687489.617286,390,7859526868926506,1,Replay
1536575220.934077,497,12540836112500785266,1,Fuzzing
1536574166.421602,197,5778868054906811175,0,Normal
1536574373.611685,451,502440474158579712,0,Normal
1508687424.873565,390,14078396319544106,0,Normal
1536574183.083395,419,9223372036854775808,0,Normal
1536574971.829298,567,0,1,DoS
1536575253.156525,647,4390912,1,DoS
1536574232.633559,451,480485103853633539,0,Normal
1536575194.174923,211,3169822796595400704,1,Fuzzing
1536575301.28457,485,6638496134991970678,1,Fuzzing
1536575022.325111,456,14123006960751950846,1,Fuzzing
1536575043.904418,456,4899634923897306112,1,Fuzzing
1508687464.506765,666,2009199041461161362,0,Normal
1536574933.918755,489,4503659756912640,1,DoS
1536574169.807601,485,6701346830958985982,0,Normal
1536574711.217651,197,3559730076487036458,0,Normal
1508687473.549147,1498,6300817356287478144,0,Normal
1536574184.018696,241,57178903805952,0,Normal
1536574734.95233,211,3193966960366850050,0,Normal
1536575300.973701,455,549739036735,1,Fuzzing
1536574520.291757,1020,5227871556576770933,0,Normal
1508687291.080524,144,0,0,Normal
1536575166.101329,419,9223372036854775808,1,Fuzzing
1536575236.49662,761,18859953150230535,1,Fuzzing
1536573964.411996,528,67109374,0,Normal
1536575028.547668,969,506092008125759488,1,Fuzzing
1536575200.497493,209,18014948248583936,1,Fuzzing
1536574769.316467,249,0,0,Normal
1536575056.700481,723,217580156997337088,1,Replay
1508687441.744154,532,64510,0,Normal
1508687517.378528,850,1543503872,1,Fuzzing
1536575068.452089,1001,173731427163340,1,DoS
1508687491.10685,666,4080,1,Fuzzing
1536574999.035482,389,6163,1,Fuzzing
1536573973.060882,209,0,0,Normal
1536574952.697384,197,13896763313574539340,1,DoS
1536574100.803682,1105,0,0,Normal
1536575070.793,456,9511320942324628479,1,Fuzzing
1536574767.269754,501,17095664250862436837,0,Normal
1508687475.976626,394,3602879731625885696,0,Normal
1536574377.210481,417,71745019130368,0,Normal
1536574320.68866,707,505817714334380288,0,Normal
1536575013.875089,209,36029621619195392,1,Replay
1536574978.098113,562,0,1,Replay
1536574451.591629,564,0,0,Normal
1536574543.255613,489,60397846528,0,Normal
1536574171.87135,197,2474094339970156722,0,Normal
1536574994.058352,866,0,1,Replay
1536575086.753737,985,517,1,Fuzzing
1536574851.695156,289,0,0,Normal
1536575240.47589,201,9228783876153806849,1,DoS
1508687381.564042,1495,4810407837241598,0,Normal
1536574760.956155,456,4899634923897306112,0,Normal
1536575130.073555,201,9236582713455022116,1,Fuzzing
1536574442.320312,489,5761229883711225856,0,Normal
1508687377.630554,502,2170878199574102014,0,Normal
1536574868.955318,249,95138542128201728,0,Normal
1536575137.925604,479,9302185030333759488,1,Replay
1536575035.608742,499,8436736,1,Replay
1536574887.430306,201,9233301782199799811,0,Normal
1536574129.814059,456,287948901175016449,0,Normal
1536574819.75336,209,18014948248583936,0,Normal
1536575055.34285,193,15244333710225682850,1,Replay
1536574421.362989,479,9302185030333759488,0,Normal
1536575204.668261,532,0,1,Fuzzing
1536575028.474325,209,36029621619195392,1,DoS
1508687484.982872,416,240,1,Fuzzing
1536575016.621792,417,71745237236736,1,Fuzzing
1536575241.446936,761,25615322526515200,1,Replay
1508687390.9451,1588,8388608,0,Normal
1536575052.342958,193,1386468829914540034,1,DoS
1536575051.343979,840,7063313691,1,Fuzzing
1536575221.117549,532,2199593624607,1,Fuzzing
1536574461.898042,249,95138542128201728,0,Normal
1536574471.100085,562,0,0,Normal
1536575334.775017,753,909741445328,1,Replay
1536574604.216674,647,0,0,Normal
1536574685.050272,562,0,0,Normal
1536575138.420779,532,6598713764917,1,Fuzzing
1536574768.656324,485,6631898378013770061,0,Normal
1536575265.605227,389,6144,1,Fuzzing
1508687334.840586,1608,18446727026053138462,0,Normal
1536574960.497311,241,11252818509824,1,Fuzzing
1508687378.20329,198,9206061456784140528,0,Normal
1536574080.867131,508,18426198552188351241,0,Normal
1536574364.08244,193,4782541283163351260,0,Normal
1536574923.461366,866,0,0,Normal
1508687499.75416,1502,432346113983381570,1,DoS
1508687451.955778,390,13295518532965738,0,Normal
1536574000.478553,211,3260665503844143104,0,Normal
1536574819.928103,1105,0,0,Normal
1536574641.541365,455,63,0,Normal
1536574045.677764,456,9511320942324628479,0,Normal
1536574113.48277,500,0,0,Normal
1536574977.047645,451,477388849045045251,1,Fuzzing
1536575164.139112,455,1099461296191,1,Replay
1508687522.127841,666,2414529239966420627,1,Replay
1536575302.373523,209,18014948248583936,1,Fuzzing
1536575139.76958,197,4712246694809592064,1,Fuzzing
1536574018.281911,453,3166078792767243774,0,Normal
1536575231.430196,501,16285016317398876434,1,Replay
1536574752.692488,1105,0,0,Normal
1536574822.23426,241,30790624739328,0,Normal
1536574401.152243,532,2199593624607,0,Normal
1536574267.36717,197,4653226611418021645,0,Normal
1508687342.192029,144,201326592,0,Normal
1536574392.91095,453,3208300056451154881,0,Normal
1536574896.048414,1001,982493066477404985,0,Normal
1536574521.154467,485,6701338103551886339,0,Normal
1536573986.478342,211,3183066371202289665,0,Normal
1536574994.46731,311,1657782313704892424,1,Fuzzing
1536575294.227468,485,6637730050382758401,1,Fuzzing
1508687531.697381,302,14807793211401043712,1,Replay
1536575131.362032,810,795481737704381726,1,Fuzzing
1536574438.788487,501,16501189099512660245,0,Normal
1508687344.529217,394,3602879731860766720,0,Normal
1508687543.08225,710,281474976710640,1,Fuzzing
1536575026.025031,456,4899634923897306112,1,Fuzzing
1536574711.892366,647,12648448,0,Normal
1536575158.601727,866,0,1,DoS
1536575309.081858,1259,13841423587658089694,1,Replay
1536575263.563347,241,57178903805952,1,Fuzzing
1536575063.882702,193,17550260995824585997,1,DoS
1536575239.426115,209,36029621619195392,1,Fuzzing
1536574405.638422,723,217580156997337088,0,Normal
1536575115.651768,481,136416,1,DoS
1536574532.775448,389,6155,0,Normal
1536574244.897895,193,10395232203252253897,0,Normal
1536575054.14821,288,715364096,1,Fuzzing
1536575254.244424,485,6629314456834802173,1,Fuzzing
1536575123.669737,485,6629586173511598605,1,Fuzzing
1536574570.903376,193,17324878425092917878,0,Normal
1536574742.707545,562,0,0,Normal
1536574535.475843,489,7881359738273792,0,Normal
1508687526.376668,532,64510,1,DoS
1536574003.386793,485,6696406793481880404,0,Normal
1536575321.105957,485,6638958410391880300,1,DoS
1536575252.054556,501,16285016317398876438,1,Fuzzing
1536574312.705285,389,6179,0,Normal
1536575120.503565,565,0,1,Fuzzing
1536574138.189023,485,6701159501665403380,0,Normal
1536574956.208618,761,5349180037924109,1,Replay
1536574997.634832,0,0,1,DoS
1508687551.598003,302,14087297583957409536,1,Fuzzing
1536574226.146633,485,6629344212502446385,0,Normal
1536574601.573976,761,30118965103558666,0,Normal
1508687502.938874,394,4134349566592155648,1,DoS
1536575168.838476,197,3532076641800654402,1,Fuzzing
1536574612.368662,485,6701262855758414418,0,Normal
1536574967.743536,309,72068772110930480,1,Fuzzing
1508687512.896427,0,0,1,DoS
1536574652.07611,211,3170696921224318977,0,Normal
1536575314.456672,500,0,1,Fuzzing
1536575300.899199,289,0,1,Replay
1536574580.08978,501,16357073911436804371,0,Normal
1536574169.933402,451,496810931675736579,0,Normal
1508687476.847132,666,1785,1,DoS
1536574605.741302,485,6698990370610479928,0,Normal
1508687371.05293,144,0,0,Normal
1536575140.048945,211,3163202594134822913,1,DoS
1536574354.018659,485,6629377197851279695,0,Normal
1536574272.859588,485,6629768279302865442,0,Normal
1536575297.923965,389,7155,1,Replay
1508687548.561325,1651,349239923200,1,Replay
1508687494.011826,1513,15762598697369602,1,DoS
1536574937.622375,501,17095664250862436826,1,Replay
1536574140.317497,201,9230018641066463487,0,Normal
1536574386.710488,452,7882076225981842378,0,Normal
1536575100.372585,201,9230006533654319119,1,Replay
1536574673.042306,479,9302185030333759488,0,Normal
1536575230.569044,298,67677629339152560,1,Replay
1508687467.716667,502,2170878186685333502,0,Normal
1536574126.294882,489,4616189678184300544,0,Normal
1536575033.074927,241,43984764272640,1,Replay
1536575125.359096,485,6629399943947747856,1,DoS
1536574955.95894,562,0,1,DoS
1536573992.322545,241,30790624739328,0,Normal
1536574968.197136,452,5360059317925971454,1,Replay
1536575050.725896,501,17077649851816083761,1,Replay
1508687288.056351,529,22014528499482624,0,Normal
1536574696.514532,249,0,0,Normal
1536575236.752317,969,506092008125759488,1,Fuzzing
1536575263.654288,451,482736972386795523,1,DoS
1508687537.439912,502,2170875914647633918,1,Fuzzing
1536574197.15883,499,4226048,0,Normal
1536574966.44572,485,6629424339412320602,1,Replay
1508687525.627325,144,0,1,Fuzzing
1536574558.064337,197,8246897075338775069,0,Normal
1536575236.253309,452,27797517966311931,1,Fuzzing
1508687525.197378,144,16777216,1,DoS
1536574164.462828,497,12540836112500785266,0,Normal
1536574859.96433,241,4299161600,0,Normal
1536574592.382607,197,3676056104639778627,0,Normal
1536574748.730118,1105,0,0,Normal
1536574968.471655,453,3172271392597149695,1,Fuzzing
1536574713.597976,455,1099461296191,0,Normal
1508687435.565611,532,64510,0,Normal
1536574936.838122,209,36029621619195392,1,Fuzzing
1536575119.070945,456,9511320942324628479,1,Replay
1536574055.066393,201,9233383146597126146,0,Normal
1536575030.077408,1217,1570502012716515328,1,DoS
1536574062.426394,197,1220636664733666950,0,Normal
1536575153.446993,241,30790624739328,1,Fuzzing
1536575027.535601,562,0,1,DoS
1536574047.197337,389,7161,0,Normal
1536575016.296946,417,71745237236736,1,Fuzzing
1536574262.017744,209,18014948248583936,0,Normal
1536575183.600829,866,0,1,DoS
1536575001.893473,0,0,1,DoS
1536574276.03525,481,136416,0,Normal
1536574245.460787,508,18410997623553520415,0,Normal
1536574764.202983,211,3166483566896943106,0,Normal
1536575221.556089,1011,211243815811220,1,Fuzzing
1536575166.839212,456,14123006960751950846,1,DoS
1536575235.628523,452,7882075272495760381,1,Fuzzing
1536574897.494883,417,71749532188672,0,Normal
1536574072.791567,201,9233250079819698176,0,Normal
1536574662.592341,532,4399153694762,0,Normal
1508687542.03053,390,11083296307287530,1,Fuzzing
1536575058.74816,241,11252818509824,1,Fuzzing
1536574000.154977,452,2838043530859907071,0,Normal
1508687518.118004,532,64510,1,DoS
1508687526.6609,710,281474976710640,1,Replay
1536574944.718356,489,31525257540407296,1,Replay
1536575061.696911,201,9515367140820062208,1,Replay
1536574800.216995,417,71749213421568,0,Normal
1536575073.550786,485,6700398777057935965,1,DoS
1536574018.678162,193,7055994428396664147,0,Normal
1536574435.200059,456,287948901175016449,0,Normal
1536574330.684674,389,7163,0,Normal
1536575136.962083,844,17551108229939597308,1,Fuzzing
1536575301.866225,562,0,1,DoS
1536574955.969404,211,3173435791804272640,1,Replay
1536575138.550102,389,7160,1,Fuzzing
1536574991.257906,211,3246161877637533732,1,Fuzzing
1536575002.664075,1105,0,1,Fuzzing
1536575042.9051,761,18859953150231559,1,DoS
1508687513.958655,144,0,1,Replay
1536574890.380852,389,6150,0,Normal
1536574983.398015,840,12499215643,1,DoS
1536575112.352089,562,0,1,DoS
1536575076.473108,249,0,1,DoS
1536574787.246231,647,4390912,0,Normal
1536574924.456421,249,95138542128201728,0,Normal
1508687329.433449,536,148,0,Normal
1508687551.83244,951,55838862442304,1,Fuzzing
1536574067.5244,485,6629682862620672390,0,Normal
1508687550.288063,302,14087293180005318400,1,DoS
1536574856.647724,497,12540836112500785266,0,Normal
1536574478.942042,977,77687093573529151,0,Normal
1536574942.528782,456,14123006960751950846,1,Replay
1508687429.435038,302,14375507053282066176,0,Normal
1536574415.770527,197,1430826713086491528,0,Normal
1536575084.347572,201,9515330856936345600,1,Fuzzing
1536575159.877052,647,8519680,1,DoS
1508687368.840307,390,13291148410303082,0,Normal
1536575274.904547,209,36029621619195392,1,Fuzzing
1536575192.919722,497,12540836112500785266,1,Fuzzing
1536575128.475453,479,9302185030333759488,1,DoS
1536575036.866894,241,30790624739328,1,DoS
1536574749.687062,508,17911942588649833304,0,Normal
1536574175.107102,451,521862578264099840,0,Normal
1536574324.097757,1105,0,0,Normal
1508687494.020291,1274,2688,1,Fuzzing
1536574317.452524,485,6701257564274819959,0,Normal
1536574091.696821,761,51792495360608000,0,Normal
1536574401.772307,456,4899634923897306112,0,Normal
1536574060.859095,562,0,0,Normal
1536575266.835754,456,14123006960751950846,1,Fuzzing
1536575299.2663,562,0,1,Fuzzing
1536575227.436414,197,3508022167421461770,1,DoS
1536574430.937481,479,9302185030333759488,0,Normal
1536574866.569845,479,9302185030333759488,0,Normal
1536574306.345082,201,9230169247802527746,0,Normal
1536575285.134089,197,5982832753303548686,1,Fuzzing
1536574935.786753,497,12540836112500785266,1,Replay
1536574362.443756,456,287948901175016449,0,Normal
1536575078.308232,241,68427423154176,1,Fuzzing
1536575170.619202,499,15360,1,Fuzzing
1536575187.63275,485,6701348892778169070,1,Fuzzing
1536575244.358762,485,6629337409257472505,1,Fuzzing
1536574940.992032,497,12540836112500785266,1,Replay
1536574003.983631,707,529461603788171520,0,Normal
1536574675.065368,451,483299918046306562,0,Normal
1536574352.396004,249,95138542128201728,0,Normal
1536574724.094184,485,6701000210002215559,0,Normal
1508687529.852958,1608,18446726915256403998,1,Fuzzing
1536575320.343331,489,60396601344,1,Fuzzing
1536574929.244337,249,0,0,Normal
1536574480.607794,209,18014948248583936,0,Normal
1536574065.656477,209,0,0,Normal
1536575321.783149,389,6148,1,Fuzzing
1536574949.443833,311,1585724336872040457,1,Replay
1536574429.235373,249,54324670505156608,0,Normal
1508687532.107971,198,9173976015268521198,1,Fuzzing
1536574710.993012,723,217580156997337088,0,Normal
1508687533.788266,695,3774873089,1,DoS
1536574519.62807,1105,0,0,Normal
1536574662.315042,451,513136699367243008,0,Normal
1536574210.330829,840,39158619675,0,Normal
1536574439.679997,456,287948901175016449,0,Normal
1536574064.208784,647,0,0,Normal
1536574188.793822,352,767921008131,0,Normal
1536575031.194652,456,9511320942324628479,1,Replay
1508687506.318243,390,17016281453899370,1,Fuzzing
1536574010.890545,201,9231157708755832833,0,Normal
1508687363.026771,666,625165488233778046,0,Normal
1508687390.443687,302,11637301986629517056,0,Normal
1536574134.614469,532,4433512908842,0,Normal
1508687371.553618,668,2005821032279048191,0,Normal
1536574986.351427,977,102738366519396927,1,Fuzzing
1536574075.391913,211,3153541215526326272,0,Normal
1536574353.41616,753,138028261408,0,Normal
1536574307.933189,249,0,0,Normal
1536575180.150882,866,0,1,Fuzzing
1536575074.684227,201,9515345206422081536,1,Fuzzing
1536575139.000322,417,71749314087168,1,Fuzzing
1508687421.102083,1018,0,0,Normal
1536574860.140967,197,9494681399418762641,0,Normal
1536574490.539135,528,33554943,0,Normal
1536574950.049714,723,217580156997337088,1,Fuzzing
1536575279.807125,562,0,1,Fuzzing
1536574869.681692,489,1149543865282396160,0,Normal
1536574285.394804,485,6631870820043981260,0,Normal
1536574095.90916,647,0,0,Normal
1536574879.372277,501,16357073911436804376,0,Normal
1536575019.343477,485,6629304492644892909,1,Fuzzing
1536575080.388031,485,6701222379701404491,1,Replay
1536575324.024622,485,6633935841544635026,1,Fuzzing
1536574631.363735,211,3181326987176185858,0,Normal
1508687455.186452,666,3491187501496339337,0,Normal
1536575159.276972,501,16285016317398876462,1,Fuzzing
1536574470.518091,197,13977499783486223704,0,Normal
1536575327.243794,761,69806893870088192,1,Fuzzing
1536574131.407283,241,94850061959168,0,Normal
1536574771.99754,241,11265703411712,0,Normal
1536575052.671392,201,9227366605548228608,1,Fuzzing
1536574729.008109,562,0,0,Normal
1536574564.216697,842,10888577051,0,Normal
1536575102.974116,419,9223372036854775808,1,DoS
1536574787.925291,528,33554943,0,Normal
1508687484.716417,198,9079116027539275474,1,Fuzzing
1536574642.344103,647,4390912,0,Normal
1536575214.176394,419,9223372036854775808,1,Replay
1536575298.580963,241,57183198773248,1,Fuzzing
1536574783.853935,249,0,0,Normal
1536574946.522449,298,67677629339152512,1,DoS
1536574165.643806,249,141018963332038656,0,Normal
1536575141.336464,249,0,1,Fuzzing
1536574392.896099,201,9234478234878349328,0,Normal
1536575103.583994,753,620900683920,1,Replay
1536574177.174877,485,6701349717177008801,0,Normal
1536574997.662683,0,0,1,DoS
1536574028.909196,528,0,0,Normal
1508687537.657618,302,15168124093145808640,1,Fuzzing
1536574295.586931,489,1150669765190680576,0,Normal
1508687518.078265,668,2765815280557883391,1,Fuzzing
1536575223.635449,497,12540836112500785266,1,Fuzzing
1536575216.654977,985,547,1,Replay
1536575175.700555,419,9223372036854775808,1,Fuzzing
1536575286.714295,201,9227203864942350336,1,Replay
1536575158.824621,211,3220134250212757505,1,DoS
1536575128.102168,1005,255,1,Replay
1536574449.841285,723,217580156997337088,0,Normal
1536575317.178888,419,9223372036854775808,1,Replay
1536574100.974381,193,213875010098380898,0,Normal
1536575294.058926,1001,38453830051535906,1,Fuzzing
1536574301.558489,417,71745019129088,0,Normal
1536574426.780183,389,7162,0,Normal
1536575212.347511,456,9511320942324628479,1,DoS
1536575232.603035,479,9302185030333759488,1,DoS
1536575178.448439,389,7137,1,Fuzzing
1536574838.101992,193,4814406062143923270,0,Normal
1536574942.770732,564,0,1,DoS
1536575231.30786,844,16881180652742901872,1,DoS
1536575128.736248,249,141018963332038656,1,Replay
1536575060.354028,489,6755459570597888,1,DoS
1508687558.168836,666,2572720470405482597,1,DoS
1536574210.484666,479,9302185030333759488,0,Normal
1536574481.914597,1249,5136126922219467576,0,Normal
1536575165.219719,532,6598713764917,1,Fuzzing
1536574991.835294,193,11733067544352898068,1,DoS
1536574651.011621,1257,247802765973799,0,Normal
1536574182.332692,417,71745237239552,0,Normal
1536574010.618672,197,9294803415010154169,0,Normal
1536575091.925923,501,17077649851816083722,1,DoS
1536574441.797097,201,9227651366174920704,0,Normal
1536574747.864776,241,4299161600,0,Normal
1536575035.859094,249,54324670505156608,1,Fuzzing
1536574450.712247,241,30790624739328,0,Normal
1536575159.770469,562,0,1,Replay
1536575277.703459,451,481329455771418625,1,Fuzzing
1536575290.484222,389,7165,1,Fuzzing
1536574501.442683,1001,390837312448202716,0,Normal
1508687377.755695,1675,13765677,0,Normal
1536575046.693141,193,9453226134548194033,1,Fuzzing
1508687377.120728,390,12534693539362474,0,Normal
1536574721.178567,456,14123006960751950846,0,Normal
1536575227.977551,455,1099461296191,1,Replay
1536575059.578109,1261,45076837472272186,1,Fuzzing
1536575065.02387,456,4899634923897306112,1,Fuzzing
1536574449.611417,451,487803539146407936,0,Normal
1536575331.802673,456,287948901175016449,1,Fuzzing
1536574082.975791,389,7165,0,Normal
1536574881.182181,489,1125960304230400,0,Normal
1536574926.499866,840,23824009755,0,Normal
1536574928.949903,985,516,0,Normal
1536574534.245474,197,10451053375669493447,0,Normal
1508687489.687886,1638,872415232,1,Fuzzing
1508687297.126395,394,3602879732095647744,0,Normal
1536575302.955945,453,3170301037695598592,1,Fuzzing
1536574961.819292,201,9515353989630201856,1,Replay
1536575250.466902,508,18233381029139776234,1,DoS
1536575278.094378,209,18014948248583936,1,Fuzzing
1536575255.195157,197,3660354649090837420,1,Replay
1536574098.247569,866,0,0,Normal
1536575296.828561,451,492025599372558336,1,Replay
1536575079.623074,249,0,1,DoS
1536575312.629788,453,3170863996237579261,1,Fuzzing
1536575017.198019,451,511166365943479297,1,Replay
1536575097.598957,451,476262931960430593,1,Fuzzing
1536574861.753908,381,37539138175088,0,Normal
1536574263.138702,761,63051524493803527,0,Normal
1536574953.880624,485,6629350534694306039,1,DoS
1536575273.989546,249,0,1,DoS
1536574221.700006,528,0,0,Normal
1508687452.955792,390,13216353964201322,0,Normal
1536574173.085047,501,16357073911436804376,0,Normal
1536574949.947437,197,15049684818449821772,1,Fuzzing
1536575085.042707,456,14123006960751950846,1,Fuzzing
1536575219.740819,241,57178903805952,1,Fuzzing
1508687504.007948,502,2170875923241435134,1,DoS
1536575233.148914,866,0,1,Fuzzing
1536574119.237852,977,88101667714707007,0,Normal
1536574987.581175,241,57178903805952,1,DoS
1508687536.218598,850,1543503872,1,Replay
1508687371.732522,535,18045219579683872,0,Normal
1536574665.338953,211,3220034152191496197,0,Normal
1536574462.387958,452,5360060511930549702,0,Normal
